CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
CE,21/2/2020,,,,,
VC,21/2/2020,,30,1,,
EX,21/2/2020,,,,,
GA,21/2/2020,,,,,
MD,21/2/2020,,,,,
ML,21/2/2020,,,,,
MC,21/2/2020,,,,,
NC,21/2/2020,,,,,
PV,21/2/2020,,,,,
RI,21/2/2020,,,,,
AN,22/2/2020,,,,,
AR,22/2/2020,,,,,
AS,22/2/2020,,,,,
IB,22/2/2020,1,,,,
CN,22/2/2020,1,,,,
CB,22/2/2020,,,,,
CM,22/2/2020,,,,,
CL,22/2/2020,0,,,,
CT,22/2/2020,,,,,
CE,22/2/2020,,,,,
VC,22/2/2020,,33,1,,
EX,22/2/2020,,,,,
GA,22/2/2020,,,,,
MD,22/2/2020,,,,,
ML,22/2/2020,,,,,
MC,22/2/2020,,,,,
NC,22/2/2020,,,,,
PV,22/2/2020,,,,,
